cap,bet,markets,fills,closed_with_fill,closed_y,closed_no,cost_all,cost_closed,realized_pl,value_per_dollar
0.35,5,3264,490,146,108,38,2450.0,730.0,3187.37,4.366256050684932
0.35,10,3264,490,146,108,38,4900.0,1460.0,6375.48,4.366769910273972
0.35,15,3264,490,146,108,38,7350.0,2190.0,9554.28,4.362685801228622
0.4,5,3264,533,158,108,50,2665.0,790.0,3251.61,4.115960127848101
0.4,10,3264,533,158,108,50,5330.0,1580.0,6506.16,4.117824278481013
0.4,15,3264,533,158,108,50,7995.0,2370.0,9749.77,4.113828216181553
0.45,5,3264,577,165,108,57,2885.0,825.0,3273.56,3.9679553236363634
0.45,10,3264,577,165,108,57,5770.0,1650.0,6563.03,3.9775968557575756
0.45,15,3264,577,165,108,57,8655.0,2475.0,9841.27,3.976268736482947
