cap,bet,markets,fills,closed_with_fill,closed_y,closed_no,cost_all,cost_closed,realized_pl,value_per_dollar
0.3,5,2887,312,95,78,17,1560,475,492.98,1.0378439936842105
0.3,10,2887,282,86,72,14,2820,860,914.4,1.0632504895348835
0.3,15,2887,259,76,65,11,3885,1140,1362.98,1.1955978824561402
0.3,20,2887,248,72,63,9,4960,1440,1722.74,1.1963462451388889
0.3,25,2887,237,70,61,9,5925,1750,2184.3,1.2481726759999998
0.3,30,2887,231,69,60,9,6930,2070,2627.72,1.2694285835748793
0.3,35,2887,225,67,59,8,7875,2345,-385.37,-0.16433596801705755
0.3,40,2887,219,67,59,8,8760,2680,-462.2,-0.17246306716417917
0.3,45,2887,212,64,56,8,9540,2880,-400.38,-0.13902213576388886
0.3,50,2887,206,61,54,7,10300,3050,-567.42,-0.18603879934426232
0.3,55,2887,201,61,54,7,11055,3355,-632.48,-0.18851910760059606
0.3,60,2887,194,58,51,7,11640,3480,-517.54,-0.14871979109195402
0.3,65,2887,190,57,51,6,12350,3705,-743.32,-0.200625620242915
0.3,70,2887,186,56,50,6,13020,3920,-736.25,-0.18781910867346938
0.3,75,2887,185,56,50,6,13875,4200,-788.17,-0.1876600283333334
0.3,80,2887,182,54,48,6,14560,4320,-662.69,-0.15339948634259265
0.3,85,2887,180,53,47,6,15300,4505,-601.85,-0.1335960117647058
0.3,90,2887,178,53,47,6,16020,4770,-605.8,-0.12700248469601683
0.3,95,2887,177,53,47,6,16815,5035,-599.48,-0.11906349692154918
0.3,100,2887,175,53,47,6,17500,5300,-591.49,-0.11160115849056604
0.3,105,2887,173,52,46,6,18165,5460,-478.88,-0.08770660018315025
0.3,110,2887,172,52,46,6,18920,5720,-470.54,-0.08226159930069932
0.3,115,2887,168,50,44,6,19320,5750,-232.94,-0.040511926608695674
0.3,120,2887,164,50,44,6,19680,6000,-216.95,-0.03615897216666675
0.3,125,2887,164,50,44,6,20500,6250,-200.96,-0.03215425439999999
0.3,130,2887,162,49,43,6,21060,6370,-54.97,-0.008630195761381488
0.3,135,2887,159,48,42,6,21465,6480,100.95,0.015579007870370294
0.3,140,2887,155,47,41,6,21700,6580,265.23,0.0403091287234043
0.3,145,2887,154,47,41,6,22330,6815,294.1,0.04315475759354368
0.3,150,2887,153,46,40,6,22950,6900,472.73,0.0685120239130435
0.3,155,2887,153,46,40,6,23715,7130,506.33,0.07101451444600283
0.3,160,2887,152,46,40,6,24320,7360,539.08,0.07324518519021737
0.3,165,2887,151,46,40,6,24915,7590,567.63,0.07478700289855077
0.3,170,2887,151,46,40,6,25670,7820,590.89,0.0755611299232737
0.3,175,2887,150,46,40,6,26250,8050,613.72,0.07623831937888201
0.3,180,2887,150,46,40,6,27000,8280,636.55,0.07687788768115941
0.3,185,2887,145,42,37,5,26825,7770,-141.6,-0.0182235857142857
0.3,190,2887,145,42,37,5,27550,7980,-147.62,-0.01849844197994979
0.3,195,2887,144,41,36,5,28080,7995,41.36,0.005173499437148272
0.3,200,2887,143,40,36,4,28600,8000,-1431.29,-0.178911147125
0.3,205,2887,143,40,36,4,29315,8200,-1477.02,-0.1801248331707317
0.3,210,2887,143,40,36,4,30030,8400,-1519.32,-0.18087179369047618
0.3,215,2887,142,40,36,4,30530,8600,-1561.62,-0.1815840120930232
0.3,220,2887,140,38,35,3,30800,8360,-1918.79,-0.22952044760765547
0.3,225,2887,138,38,35,3,31050,8550,-1967.76,-0.23014702269005846
0.3,230,2887,135,37,34,3,31050,8510,-1786.72,-0.20995571633372506
0.3,235,2887,135,37,34,3,31725,8695,-1834.05,-0.21093173191489364
0.3,240,2887,132,36,34,2,31680,8640,-2565.02,-0.29687774201388895
