cap,bet,markets,fills,closed_with_fill,realized_pl
0.3,5,2604,296,86,519.68
0.3,10,2604,268,77,967.81
0.3,15,2604,244,67,1443.1
0.3,20,2604,233,63,1830.06
0.3,25,2604,221,61,2319.02
0.3,30,2604,214,60,2789.82
0.3,35,2604,210,58,-195.87
0.3,40,2604,206,58,-245.31
0.3,45,2604,197,55,-160.5
0.3,50,2604,193,52,-301.42
0.3,55,2604,189,52,-339.64
0.3,60,2604,179,50,-257.85
0.3,65,2604,178,49,-461.77
0.3,70,2604,175,48,-432.86
0.3,75,2604,175,48,-462.93
0.3,80,2604,171,46,-318.42
0.3,85,2604,170,45,-242.25
0.3,90,2604,167,45,-234.87
0.3,95,2604,166,45,-217.22
0.3,100,2604,163,45,-197.89
0.3,105,2604,162,44,-67.86
0.3,110,2604,162,44,-37.82
0.3,115,2604,157,42,221.46
0.3,120,2604,154,42,259.14
0.3,125,2604,154,42,296.83
0.3,130,2604,152,41,464.51
0.3,135,2604,147,40,642.13
0.3,140,2604,145,39,828.11
0.3,145,2604,144,39,878.67
0.3,150,2604,143,38,1078.99
0.3,155,2604,142,38,1134.29
0.3,160,2604,142,38,1188.73
0.3,165,2604,142,38,1238.97
0.3,170,2604,142,38,1283.92
0.3,175,2604,142,38,1328.44
0.3,180,2604,142,38,1372.97
0.3,185,2604,136,34,616.52
0.3,190,2604,136,34,632.19
0.3,195,2604,135,33,842.86
0.3,200,2604,134,32,-608.1
0.3,205,2604,134,32,-632.14
0.3,210,2604,133,32,-652.74
0.3,215,2604,133,32,-673.35
0.3,220,2604,131,31,-1228.82
0.3,225,2604,129,31,-1261.1
0.3,230,2604,126,30,-1063.37
0.3,235,2604,126,30,-1094.01
0.3,240,2604,125,30,-1125.02
0.3,245,2604,125,30,-1156.04
0.3,250,2604,125,30,-1187.06
0.3,255,2604,124,29,-963.08
0.3,260,2604,123,29,-989.1
0.3,265,2604,123,29,-1015.12
0.3,270,2604,122,29,-1041.13
0.3,275,2604,119,28,-788.77
0.3,280,2604,118,28,-806.48
0.3,285,2604,116,28,-824.83
0.3,290,2604,114,28,-839.14
0.3,295,2604,114,28,-850.62
0.3,300,2604,114,28,-861.8
0.3,305,2604,113,28,-872.73
0.3,310,2604,111,28,-884.83
0.3,315,2604,111,28,-897.31
0.3,320,2604,109,28,-909.97
0.3,325,2604,109,28,-923.24
0.3,330,2604,108,28,-936.92
0.3,335,2604,108,28,-950.61
0.3,340,2604,106,28,-964.29
0.3,345,2604,105,28,-977.97
0.3,350,2604,105,28,-991.66
0.3,355,2604,103,28,-1005.34
0.3,360,2604,103,28,-1019.03
0.3,365,2604,103,28,-1032.71
0.3,370,2604,102,28,-1046.39
0.3,375,2604,101,27,-685.08
0.3,380,2604,100,26,-313.76
0.3,385,2604,100,26,-317.45
0.3,390,2604,100,26,-321.13
0.3,395,2604,97,25,70.18
0.3,400,2604,97,25,71.5
0.3,405,2604,96,24,477.82
0.3,410,2604,96,24,484.13
0.3,415,2604,95,24,490.45
0.3,420,2604,95,24,496.76
0.3,425,2604,95,24,503.08
0.3,430,2604,94,24,509.39
0.3,435,2604,94,24,515.71
0.3,440,2604,94,24,522.03
0.3,445,2604,93,23,973.34
0.3,450,2604,93,23,984.66
0.3,455,2604,92,22,1450.69
0.3,460,2604,92,22,1465.57
0.3,465,2604,92,22,1480.43
0.3,470,2604,91,21,1965.29
0.3,475,2604,91,21,1985.14
0.3,480,2604,90,21,2005.0
0.3,485,2604,90,21,2024.86
0.3,490,2604,89,21,2044.72
0.3,495,2604,89,21,2064.58
0.3,500,2604,89,21,2084.44
0.35,5,2604,336,96,509.5
0.35,10,2604,310,91,976.57
0.35,15,2604,287,83,1470.53
0.35,20,2604,273,78,1922.96
0.35,25,2604,258,74,2456.8
0.35,30,2604,250,71,2942.9
0.35,35,2604,244,68,-55.05
0.35,40,2604,238,66,-120.92
0.35,45,2604,232,64,-60.53
0.35,50,2604,226,61,-184.64
0.35,55,2604,216,58,-389.89
0.35,60,2604,207,56,-307.65
0.35,65,2604,205,56,-337.04
0.35,70,2604,203,56,-366.97
0.35,75,2604,203,56,-392.53
0.35,80,2604,200,54,-242.56
0.35,85,2604,199,53,-157.8
0.35,90,2604,195,51,-254.99
0.35,95,2604,195,51,-252.81
0.35,100,2604,192,51,-249.22
0.35,105,2604,191,51,-248.57
0.35,110,2604,191,51,-233.29
0.35,115,2604,185,49,13.16
0.35,120,2604,183,49,43.32
0.35,125,2604,180,48,-208.78
0.35,130,2604,179,48,-186.02
0.35,135,2604,176,47,-28.32
0.35,140,2604,175,47,-2.27
0.35,145,2604,173,46,168.73
0.35,150,2604,169,43,197.33
0.35,155,2604,168,42,382.62
0.35,160,2604,168,42,417.06
0.35,165,2604,164,40,777.31
0.35,170,2604,164,40,812.25
0.35,175,2604,162,40,846.78
0.35,180,2604,162,40,881.3
0.35,185,2604,158,38,-255.15
0.35,190,2604,157,38,-259.48
0.35,195,2604,156,37,-68.81
0.35,200,2604,156,37,-68.39
0.35,205,2604,156,37,-69.86
0.35,210,2604,153,37,-69.29
0.35,215,2604,153,37,-67.0
0.35,220,2604,153,37,-89.19
0.35,225,2604,152,37,-121.89
0.35,230,2604,151,37,-154.58
0.35,235,2604,151,37,-188.94
0.35,240,2604,150,37,-224.94
0.35,245,2604,150,37,-261.07
0.35,250,2604,149,36,-1855.39
0.35,255,2604,149,36,-1901.52
0.35,260,2604,148,36,-1947.66
0.35,265,2604,146,35,-1728.8
0.35,270,2604,146,35,-1769.93
0.35,275,2604,141,33,-1259.23
0.35,280,2604,140,33,-1286.74
0.35,285,2604,138,33,-1314.06
0.35,290,2604,136,32,-1051.3
0.35,295,2604,135,32,-1068.06
0.35,300,2604,135,32,-1084.66
0.35,305,2604,134,32,-1100.3
0.35,310,2604,132,32,-1117.39
0.35,315,2604,131,32,-1134.82
0.35,320,2604,129,32,-1152.66
0.35,325,2604,128,32,-1170.68
0.35,330,2604,126,32,-1189.48
0.35,335,2604,124,31,-873.28
0.35,340,2604,123,31,-887.08
0.35,345,2604,121,31,-900.74
0.35,350,2604,121,31,-914.27
0.35,355,2604,120,31,-927.8
0.35,360,2604,120,31,-941.34
0.35,365,2604,120,31,-954.87
0.35,370,2604,118,31,-968.4
0.35,375,2604,118,31,-981.93
0.35,380,2604,117,31,-995.47
0.35,385,2604,117,31,-1009.0
0.35,390,2604,117,31,-1022.53
0.35,395,2604,114,31,-1036.06
0.35,400,2604,114,31,-1049.6
0.35,405,2604,112,29,-253.13
0.35,410,2604,112,29,-256.66
0.35,415,2604,110,29,-260.2
0.35,420,2604,109,28,156.27
0.35,425,2604,109,28,157.74
0.35,430,2604,108,28,159.21
0.35,435,2604,108,28,160.67
0.35,440,2604,108,28,162.14
0.35,445,2604,108,28,163.61
0.35,450,2604,108,28,165.08
0.35,455,2604,107,27,621.54
0.35,460,2604,107,27,626.58
0.35,465,2604,107,27,631.14
0.35,470,2604,106,26,1105.56
0.35,475,2604,105,25,1589.7
0.35,480,2604,105,25,1604.32
0.35,485,2604,105,25,1620.3
0.35,490,2604,105,25,1636.5
0.35,495,2604,104,25,1653.03
0.35,500,2604,104,25,1669.55
0.4,5,2604,378,107,567.88
0.4,10,2604,348,101,1060.17
0.4,15,2604,324,94,1633.82
0.4,20,2604,311,90,2133.94
0.4,25,2604,297,88,2545.26
0.4,30,2604,290,87,3075.71
0.4,35,2604,284,85,149.1
0.4,40,2604,276,81,194.5
0.4,45,2604,266,77,242.72
0.4,50,2604,261,76,344.62
0.4,55,2604,251,72,133.84
0.4,60,2604,241,70,286.87
0.4,65,2604,238,70,316.33
0.4,70,2604,235,70,333.17
0.4,75,2604,232,69,437.61
0.4,80,2604,228,66,720.89
0.4,85,2604,226,65,863.9
0.4,90,2604,224,65,922.07
0.4,95,2604,222,64,1084.88
0.4,100,2604,216,63,1257.44
0.4,105,2604,214,62,1439.32
0.4,110,2604,214,62,1520.09
0.4,115,2604,209,61,1716.83
0.4,120,2604,208,61,1800.67
0.4,125,2604,205,61,1881.52
0.4,130,2604,203,61,1958.87
0.4,135,2604,200,60,2179.18
0.4,140,2604,199,60,2276.14
0.4,145,2604,197,60,2372.67
0.4,150,2604,195,59,2625.69
0.4,155,2604,194,58,2439.3
0.4,160,2604,191,56,1924.03
0.4,165,2604,191,56,2002.85
0.4,170,2604,191,56,2074.87
0.4,175,2604,190,55,2320.24
0.4,180,2604,189,54,2119.63
0.4,185,2604,186,53,828.76
0.4,190,2604,186,53,847.01
0.4,195,2604,183,50,441.31
0.4,200,2604,182,49,647.56
0.4,205,2604,180,48,293.8
0.4,210,2604,177,47,-101.95
0.4,215,2604,176,46,104.48
0.4,220,2604,176,46,100.78
0.4,225,2604,174,45,322.27
0.4,230,2604,171,45,324.48
0.4,235,2604,171,45,326.78
0.4,240,2604,171,45,329.07
0.4,245,2604,170,45,319.66
0.4,250,2604,170,45,286.96
0.4,255,2604,169,45,254.28
0.4,260,2604,168,45,221.72
0.4,265,2604,168,45,189.0
0.4,270,2604,168,45,155.85
0.4,275,2604,163,43,-1202.11
0.4,280,2604,162,43,-1240.27
0.4,285,2604,161,43,-1278.22
0.4,290,2604,159,43,-1316.13
0.4,295,2604,159,43,-1354.04
0.4,300,2604,157,42,-1091.95
0.4,305,2604,156,42,-1124.92
0.4,310,2604,155,42,-1157.94
0.4,315,2604,154,42,-1190.97
0.4,320,2604,152,42,-1223.99
0.4,325,2604,151,42,-1257.02
0.4,330,2604,150,42,-1290.05
0.4,335,2604,150,42,-1323.07
0.4,340,2604,149,42,-1356.1
0.4,345,2604,146,41,-1936.96
0.4,350,2604,146,41,-1978.47
0.4,355,2604,144,41,-2019.62
0.4,360,2604,144,41,-2060.57
0.4,365,2604,144,41,-2101.53
0.4,370,2604,143,41,-2142.49
0.4,375,2604,141,40,-1802.73
0.4,380,2604,139,40,-1832.27
0.4,385,2604,136,39,-1476.93
0.4,390,2604,136,39,-1501.61
0.4,395,2604,134,39,-1526.05
0.4,400,2604,133,39,-1547.01
0.4,405,2604,131,37,-757.96
0.4,410,2604,131,37,-768.92
0.4,415,2604,129,37,-779.88
0.4,420,2604,129,37,-791.49
0.4,425,2604,129,37,-806.19
0.4,430,2604,128,37,-820.89
0.4,435,2604,128,37,-835.6
0.4,440,2604,128,37,-850.3
0.4,445,2604,127,37,-865.0
0.4,450,2604,127,37,-879.7
0.4,455,2604,126,36,-439.41
0.4,460,2604,126,36,-448.93
0.4,465,2604,126,36,-454.1
0.4,470,2604,125,35,9.51
0.4,475,2604,125,35,6.73
0.4,480,2604,125,35,10.79
0.4,485,2604,124,34,500.69
0.4,490,2604,122,33,1002.99
0.4,495,2604,122,33,1018.94
0.4,500,2604,122,33,1034.45
0.45,5,2604,407,114,599.32
0.45,10,2604,380,108,1103.83
0.45,15,2604,356,102,1741.25
0.45,20,2604,343,99,2312.64
0.45,25,2604,331,97,2792.51
0.45,30,2604,323,95,3228.46
0.45,35,2604,316,93,311.04
0.45,40,2604,307,90,457.54
0.45,45,2604,301,87,634.25
0.45,50,2604,298,86,741.02
0.45,55,2604,289,81,776.0
0.45,60,2604,277,79,781.15
0.45,65,2604,272,78,788.6
0.45,70,2604,266,77,773.74
0.45,75,2604,264,76,762.49
0.45,80,2604,261,74,996.5
0.45,85,2604,254,71,1083.22
