batch:4689 | markets_total:126535 | total spent 628682.77 | batch P/L: 40.00 | total P/L: 431852.97 | bank: 436852.97 | next offset: 48750 | timestamp 2025-05-14T13:07:42.352134Z

batch:4690 | markets_total:126581 | total spent 628920.15 | batch P/L: 231.07 | total P/L: 432084.04 | bank: 437084.04 | next offset: 48800 | timestamp 2025-05-14T19:17:09.565199Z

batch:4691 | markets_total:126608 | total spent 629093.03 | batch P/L: 174.32 | total P/L: 432258.36 | bank: 437258.36 | next offset: 48850 | timestamp 2025-05-15T07:34:17.69079Z

batch:4692 | markets_total:126658 | total spent 629153.03 | batch P/L: 40.00 | total P/L: 432298.36 | bank: 437298.36 | next offset: 48900 | timestamp 2025-05-15T14:30:15.882771Z

batch:4693 | markets_total:126704 | total spent 629323.03 | batch P/L: 105.00 | total P/L: 432403.36 | bank: 437403.36 | next offset: 48950 | timestamp 2025-05-15T14:58:45.025773Z

batch:4694 | markets_total:126753 | total spent 629493.03 | batch P/L: 105.00 | total P/L: 432508.36 | bank: 437508.36 | next offset: 49000 | timestamp 2025-05-15T18:01:15.886607Z

batch:4695 | markets_total:126799 | total spent 629829.34 | batch P/L: 4.47 | total P/L: 432512.83 | bank: 437512.83 | next offset: 49050 | timestamp 2025-05-15T21:41:08.980322Z

batch:4696 | markets_total:126814 | total spent 629929.34 | batch P/L: 100.00 | total P/L: 432612.83 | bank: 437612.83 | next offset: 49100 | timestamp 2025-05-16T08:54:47.686796Z

batch:4697 | markets_total:126843 | total spent 630139.34 | batch P/L: 190.00 | total P/L: 432802.83 | bank: 437802.83 | next offset: 49150 | timestamp 2025-05-16T08:56:45.901271Z

batch:4698 | markets_total:126888 | total spent 630443.88 | batch P/L: 131.81 | total P/L: 432934.64 | bank: 437934.64 | next offset: 49200 | timestamp 2025-05-16T12:27:37.688675Z

batch:4699 | markets_total:126935 | total spent 630770.47 | batch P/L: 214.88 | total P/L: 433149.52 | bank: 438149.52 | next offset: 49250 | timestamp 2025-05-16T18:49:03.745014Z

batch:4700 | markets_total:126964 | total spent 630990.47 | batch P/L: 205.00 | total P/L: 433354.52 | bank: 438354.52 | next offset: 49300 | timestamp 2025-05-16T20:54:19.194056Z

batch:4701 | markets_total:126987 | total spent 631088.47 | batch P/L: 72.00 | total P/L: 433426.52 | bank: 438426.52 | next offset: 49350 | timestamp 2025-05-17T09:19:33.802471Z

batch:4702 | markets_total:127011 | total spent 631277.67 | batch P/L: 185.80 | total P/L: 433612.32 | bank: 438612.32 | next offset: 49400 | timestamp 2025-05-18T14:11:19.599994Z

batch:4703 | markets_total:127047 | total spent 631477.67 | batch P/L: 175.00 | total P/L: 433787.32 | bank: 438787.32 | next offset: 49450 | timestamp 2025-05-19T11:14:20.158817Z

batch:4704 | markets_total:127089 | total spent 631527.67 | batch P/L: 75.00 | total P/L: 433862.32 | bank: 438862.32 | next offset: 49500 | timestamp 2025-05-19T12:00:52.526678Z

batch:4705 | markets_total:127139 | total spent 631607.67 | batch P/L: 20.00 | total P/L: 433882.32 | bank: 438882.32 | next offset: 49550 | timestamp 2025-05-19T16:00:03.549362Z

batch:4706 | markets_total:127189 | total spent 631727.67 | batch P/L: 80.00 | total P/L: 433962.32 | bank: 438962.32 | next offset: 49600 | timestamp 2025-05-19T19:23:41.971995Z

batch:4707 | markets_total:127217 | total spent 631836.07 | batch P/L: 37.60 | total P/L: 433999.92 | bank: 438999.92 | next offset: 49650 | timestamp 2025-05-19T20:29:11.913296Z

batch:4708 | markets_total:127220 | total spent 631856.07 | batch P/L: 5.00 | total P/L: 434004.92 | bank: 439004.92 | next offset: 49700 | timestamp 2025-05-20T11:31:03.545335Z

batch:4709 | markets_total:127270 | total spent 632186.07 | batch P/L: 245.00 | total P/L: 434249.92 | bank: 439249.92 | next offset: 49750 | timestamp 2025-05-20T12:42:35.469564Z

batch:4710 | markets_total:127314 | total spent 632346.07 | batch P/L: 115.00 | total P/L: 434364.92 | bank: 439364.92 | next offset: 49800 | timestamp 2025-05-20T16:29:17.862783Z

batch:4711 | markets_total:127363 | total spent 632546.07 | batch P/L: 175.00 | total P/L: 434539.92 | bank: 439539.92 | next offset: 49850 | timestamp 2025-05-20T19:12:51.880458Z

batch:4712 | markets_total:127392 | total spent 632546.07 | batch P/L: 0.00 | total P/L: 434539.92 | bank: 439539.92 | next offset: 49900 | timestamp 2025-05-20T22:36:37.854191Z

batch:4713 | markets_total:127431 | total spent 632626.07 | batch P/L: 70.00 | total P/L: 434609.92 | bank: 439609.92 | next offset: 49950 | timestamp 2025-05-20T22:46:58.884602Z

batch:4714 | markets_total:127452 | total spent 632790.07 | batch P/L: 146.00 | total P/L: 434755.92 | bank: 439755.92 | next offset: 50000 | timestamp 2025-05-21T02:24:58.551419Z

batch:4715 | markets_total:127489 | total spent 632990.07 | batch P/L: 150.00 | total P/L: 434905.92 | bank: 439905.92 | next offset: 50050 | timestamp 2025-05-21T11:21:33.611354Z

batch:4716 | markets_total:127539 | total spent 633406.45 | batch P/L: 199.58 | total P/L: 435105.50 | bank: 440105.50 | next offset: 50100 | timestamp 2025-05-21T15:30:26.469216Z

batch:4717 | markets_total:127580 | total spent 633506.45 | batch P/L: 100.00 | total P/L: 435205.50 | bank: 440205.50 | next offset: 50150 | timestamp 2025-05-21T18:12:34.399602Z

batch:4718 | markets_total:127598 | total spent 633606.45 | batch P/L: 100.00 | total P/L: 435305.50 | bank: 440305.50 | next offset: 50200 | timestamp 2025-05-22T09:33:21.405371Z

batch:4719 | markets_total:127647 | total spent 633844.05 | batch P/L: 256.40 | total P/L: 435561.90 | bank: 440561.90 | next offset: 50250 | timestamp 2025-05-22T11:14:36.699818Z

batch:4720 | markets_total:127695 | total spent 634091.46 | batch P/L: 226.12 | total P/L: 435788.02 | bank: 440788.02 | next offset: 50300 | timestamp 2025-05-22T16:35:17.290332Z

batch:4721 | markets_total:127744 | total spent 634252.23 | batch P/L: 181.24 | total P/L: 435969.25 | bank: 440969.25 | next offset: 50350 | timestamp 2025-05-22T17:32:42.793578Z

batch:4722 | markets_total:127767 | total spent 634352.23 | batch P/L: 125.00 | total P/L: 436094.25 | bank: 441094.25 | next offset: 50400 | timestamp 2025-05-22T21:06:55.225812Z

batch:4723 | markets_total:127803 | total spent 634545.33 | batch P/L: 139.66 | total P/L: 436233.91 | bank: 441233.91 | next offset: 50450 | timestamp 2025-05-23T08:48:09.800417Z

batch:4724 | markets_total:127853 | total spent 634769.67 | batch P/L: 186.51 | total P/L: 436420.42 | bank: 441420.42 | next offset: 50500 | timestamp 2025-05-23T14:55:47.610004Z

batch:4725 | markets_total:127902 | total spent 634869.67 | batch P/L: 100.00 | total P/L: 436520.42 | bank: 441520.42 | next offset: 50550 | timestamp 2025-05-23T16:24:37.002072Z

batch:4726 | markets_total:127938 | total spent 635146.87 | batch P/L: 140.80 | total P/L: 436661.22 | bank: 441661.22 | next offset: 50600 | timestamp 2025-05-23T19:35:03.953596Z

batch:4727 | markets_total:127952 | total spent 635286.87 | batch P/L: 60.00 | total P/L: 436721.22 | bank: 441721.22 | next offset: 50650 | timestamp 2025-05-24T16:56:11.310593Z

batch:4728 | markets_total:127988 | total spent 635514.87 | batch P/L: 167.00 | total P/L: 436888.22 | bank: 441888.22 | next offset: 50700 | timestamp 2025-05-25T09:10:18.359167Z

batch:4729 | markets_total:128020 | total spent 635734.87 | batch P/L: 230.00 | total P/L: 437118.22 | bank: 442118.22 | next offset: 50750 | timestamp 2025-05-26T08:34:47.387507Z

batch:4730 | markets_total:128070 | total spent 635850.87 | batch P/L: 99.00 | total P/L: 437217.22 | bank: 442217.22 | next offset: 50800 | timestamp 2025-05-26T11:21:22.296627Z

batch:4731 | markets_total:128120 | total spent 635980.87 | batch P/L: 145.00 | total P/L: 437362.22 | bank: 442362.22 | next offset: 50850 | timestamp 2025-05-26T15:48:50.690026Z

batch:4732 | markets_total:128162 | total spent 636184.81 | batch P/L: 121.06 | total P/L: 437483.29 | bank: 442483.29 | next offset: 50900 | timestamp 2025-05-26T16:02:45.742441Z

batch:4733 | markets_total:128204 | total spent 636234.81 | batch P/L: 0.00 | total P/L: 437483.29 | bank: 442483.29 | next offset: 50950 | timestamp 2025-05-27T03:20:45.49039Z

batch:4734 | markets_total:128220 | total spent 636294.81 | batch P/L: 15.00 | total P/L: 437498.29 | bank: 442498.29 | next offset: 51000 | timestamp 2025-05-27T15:41:28.322182Z

batch:4735 | markets_total:128268 | total spent 636644.18 | batch P/L: 249.06 | total P/L: 437747.34 | bank: 442747.34 | next offset: 51050 | timestamp 2025-05-27T15:56:07.831248Z

batch:4736 | markets_total:128308 | total spent 636814.18 | batch P/L: 130.00 | total P/L: 437877.34 | bank: 442877.34 | next offset: 51100 | timestamp 2025-05-27T18:56:26.385943Z

batch:4737 | markets_total:128355 | total spent 637014.18 | batch P/L: 75.00 | total P/L: 437952.34 | bank: 442952.34 | next offset: 51150 | timestamp 2025-05-27T19:29:01.815979Z

batch:4738 | markets_total:128387 | total spent 637284.18 | batch P/L: 80.00 | total P/L: 438032.34 | bank: 443032.34 | next offset: 51200 | timestamp 2025-05-27T23:03:39.488042Z

batch:4739 | markets_total:128410 | total spent 637441.67 | batch P/L: 86.23 | total P/L: 438118.58 | bank: 443118.58 | next offset: 51250 | timestamp 2025-05-28T13:05:29.284923Z

batch:4740 | markets_total:128460 | total spent 637684.57 | batch P/L: -67.90 | total P/L: 438050.68 | bank: 443050.68 | next offset: 51300 | timestamp 2025-05-28T15:59:09.784873Z

batch:4741 | markets_total:128505 | total spent 637964.57 | batch P/L: 245.00 | total P/L: 438295.68 | bank: 443295.68 | next offset: 51350 | timestamp 2025-05-28T16:58:17.692381Z

batch:4742 | markets_total:128542 | total spent 638274.57 | batch P/L: 240.00 | total P/L: 438535.68 | bank: 443535.68 | next offset: 51400 | timestamp 2025-05-28T19:38:23.998472Z

batch:4743 | markets_total:128548 | total spent 638304.57 | batch P/L: 20.00 | total P/L: 438555.68 | bank: 443555.68 | next offset: 51450 | timestamp 2025-05-29T14:51:28.376199Z

batch:4744 | markets_total:128597 | total spent 638554.57 | batch P/L: 225.00 | total P/L: 438780.68 | bank: 443780.68 | next offset: 51500 | timestamp 2025-05-29T14:51:33.304441Z

batch:4745 | markets_total:128647 | total spent 638704.57 | batch P/L: 225.00 | total P/L: 439005.68 | bank: 444005.68 | next offset: 51550 | timestamp 2025-05-29T17:23:17.458568Z

batch:4746 | markets_total:128681 | total spent 638994.57 | batch P/L: 185.00 | total P/L: 439190.68 | bank: 444190.68 | next offset: 51600 | timestamp 2025-05-29T20:03:17.747175Z

batch:4747 | markets_total:128705 | total spent 639164.57 | batch P/L: 155.00 | total P/L: 439345.68 | bank: 444345.68 | next offset: 51650 | timestamp 2025-05-30T08:46:54.037978Z

batch:4748 | markets_total:128754 | total spent 639512.17 | batch P/L: 271.40 | total P/L: 439617.08 | bank: 444617.08 | next offset: 51700 | timestamp 2025-05-30T08:47:21.831782Z

batch:4749 | markets_total:128775 | total spent 639602.17 | batch P/L: -15.00 | total P/L: 439602.08 | bank: 444602.08 | next offset: 51750 | timestamp 2025-05-30T13:24:52.245451Z

batch:4750 | markets_total:128823 | total spent 639758.80 | batch P/L: 68.37 | total P/L: 439670.45 | bank: 444670.45 | next offset: 51800 | timestamp 2025-05-30T16:31:03.777171Z

batch:4751 | markets_total:128872 | total spent 640074.80 | batch P/L: 324.00 | total P/L: 439994.45 | bank: 444994.45 | next offset: 51850 | timestamp 2025-05-30T18:52:37.598684Z

batch:4752 | markets_total:128909 | total spent 640124.80 | batch P/L: -50.00 | total P/L: 439944.45 | bank: 444944.45 | next offset: 51900 | timestamp 2025-05-30T22:50:25.401372Z

batch:4753 | markets_total:128934 | total spent 640274.80 | batch P/L: 75.00 | total P/L: 440019.45 | bank: 445019.45 | next offset: 51950 | timestamp 2025-05-31T09:26:50.972883Z

batch:4754 | markets_total:128952 | total spent 640424.80 | batch P/L: 125.00 | total P/L: 440144.45 | bank: 445144.45 | next offset: 52000 | timestamp 2025-06-01T02:09:01.327719Z

batch:4755 | markets_total:128988 | total spent 640474.80 | batch P/L: 50.00 | total P/L: 440194.45 | bank: 445194.45 | next offset: 52050 | timestamp 2025-06-01T21:23:44.835823Z

batch:4756 | markets_total:129030 | total spent 640594.80 | batch P/L: 155.00 | total P/L: 440349.45 | bank: 445349.45 | next offset: 52100 | timestamp 2025-06-02T02:20:21.674509Z

batch:4757 | markets_total:129046 | total spent 640704.80 | batch P/L: 90.00 | total P/L: 440439.45 | bank: 445439.45 | next offset: 52150 | timestamp 2025-06-02T09:47:20.58474Z

batch:4758 | markets_total:129056 | total spent 640793.98 | batch P/L: 83.77 | total P/L: 440523.22 | bank: 445523.22 | next offset: 52200 | timestamp 2025-06-02T15:47:03.650004Z

batch:4759 | markets_total:129106 | total spent 641073.98 | batch P/L: 120.00 | total P/L: 440643.22 | bank: 445643.22 | next offset: 52250 | timestamp 2025-06-02T16:14:51.222968Z

batch:4760 | markets_total:129151 | total spent 641189.61 | batch P/L: 73.45 | total P/L: 440716.68 | bank: 445716.68 | next offset: 52300 | timestamp 2025-06-02T16:24:14.761622Z

batch:4761 | markets_total:129199 | total spent 641389.61 | batch P/L: 25.00 | total P/L: 440741.68 | bank: 445741.68 | next offset: 52350 | timestamp 2025-06-02T21:12:20.855585Z

batch:4762 | markets_total:129215 | total spent 641509.61 | batch P/L: 105.00 | total P/L: 440846.68 | bank: 445846.68 | next offset: 52400 | timestamp 2025-06-03T09:32:12.931348Z

batch:4763 | markets_total:129252 | total spent 641809.61 | batch P/L: 175.00 | total P/L: 441021.68 | bank: 446021.68 | next offset: 52450 | timestamp 2025-06-03T12:46:52.174791Z

batch:4764 | markets_total:129302 | total spent 642059.61 | batch P/L: 150.00 | total P/L: 441171.68 | bank: 446171.68 | next offset: 52500 | timestamp 2025-06-03T15:59:16.065299Z

batch:4765 | markets_total:129352 | total spent 642279.61 | batch P/L: 155.00 | total P/L: 441326.68 | bank: 446326.68 | next offset: 52550 | timestamp 2025-06-03T17:15:39.769757Z

